id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2288842715,1124,223,22,2,15
2411038149,1,1,1,0,1
2338576026,147,171,3,0,3
2609077400,1,1,1,2,1
2575495733,5718,324,9,2,9
2611526224,1622,114,19,13,13
2494572770,1,1,1,0,1
2558644985,1,1,1,2,1
2621418019,2,0,1,23,1
2323186361,55,17,4,1,3
2417726061,7,8,3,1,3
2299130689,192,140,7,0,6
2313369452,2,256,10,4,10
2297853267,1,1,1,0,1
2456499867,127,121,28,0,27
2341621246,39,26,8,0,2
2352422061,4,4,1,0,1
2555113677,877,0,4,3,2
2597381928,67,28,4,6,4
2590522777,103,54,3,2,2
2561477889,1,1,1,2,1
2366538975,5,5,2,0,2
2520828481,432,116,8,0,7
2427623189,18,2,2,4,2
2303348524,45,13,3,0,3
2440782157,639,178,13,10,11
2335332277,9,8,4,0,4
2466877438,2,2,2,1,2
2542221212,53,40,2,7,2
2405068386,76,36,38,0,26
2568276267,8,4,3,3,2
2258495620,183,36,6,0,5
2395652552,0,0,1,0,1
2321606948,1,1,1,0,1
2496808746,87,2,5,2,5
2410964662,20,6,6,3,4
2285783462,11347,411,29,0,17
2623274858,383,1379,46,6,27
2413730332,24626,193,28,31,11
2440266110,0,13,1,0,1
2346259590,1,1,1,0,1
2340789383,65,38,8,0,6
2307598743,59,16,8,0,8
2258276304,15,6,3,0,2
2355949342,491,42,11,0,10
2530271776,159,35,5,4,3
2591490604,4,1,1,2,1
2535685079,170619,40,6,4,6
2299040221,5,4,2,0,2
2625719149,21,5,3,3,3
2525060053,30,1,2,1,2
2551153036,31,25,2,3,2
2272269071,2,3,2,0,2
2436368201,808,2353,20,4,16
2337013513,1,2,1,0,1
2427199466,25,11,4,0,4
2315936826,29,1,5,5,5
2414458188,12,5,3,2,3
2314223354,1,1,1,0,1
2542496889,51,24,1,4,1
2310674819,3,0,1,1,1
2436004142,1,1,1,0,1
2555735697,300,269,13,4,8
2310967395,1,1,1,0,1
2324401692,1,1,1,0,1
2262757440,10,2,3,0,2
2272276363,10,5,1,0,1
2580612181,146,23,3,5,2
2402664989,2,2,1,0,1
2439890840,400,125,7,6,5
2550124426,15,0,1,2,1
2447152262,22,34,2,3,2
2404831929,579,18,9,10,8
2600167226,2272,100,49,16,25
2578221138,144,38,6,10,6
2327713391,2,1,2,0,2
2324646773,469,135,13,23,10
2311458311,425,794,42,4,26
2522536730,63839,110102,1171,1,28
2327100050,6,2,2,1,2
2606417228,2,5,1,3,1
2622440969,96,32,8,6,7
2286123265,200,132,11,0,9
2429676227,1,1,1,0,1
2592855470,2,2,1,1,1
2540586847,3,2,2,2,2
2258288105,5,5,3,0,2
2625652637,22,505,9,2,6
2535664448,66,170733,10,2,9
2299062402,26,17,3,0,3
2428263733,1,1,1,0,1
2358028128,1,1,1,0,1
2296228175,36,10,5,0,5
2321779297,1,1,1,0,1
2546060944,881,88,18,6,11
2530239124,98,23,3,3,3
2321183811,51,40,2,4,2
2421225050,18,18,2,0,2
2435011746,10162,364,98,14,59
2293212776,567,41,13,0,9
2285521556,104,87,14,0,12
2324355795,5,3,2,1,2
2399029608,222,110,43,4,32
2568682026,316,0,1,1,1
2369440358,41,15,1,0,1
2592596572,77,33,3,4,2
2522813512,204,223,9,0,6
2528079846,176,44,11,4,7
2551608908,144,42,6,4,5
2600244688,494,17448,9,1,8
2354505944,471,113,29,0,19
2535336610,638,389,11,6,8
